OID_,Degree,Elevation,Shape_Length,Distance
918,329.76,2638,0.046314572,4.537319721
920,330.48,2639,0.046325253,4.559052314
922,331.2,2649,0.046207438,4.567919088
924,331.92,2653,0.046365911,4.603928779
926,332.64,2657,0.046247074,4.612224756
928,333.36,2664,0.046248946,4.63229797
930,334.08,2662,0.046513655,4.678587641
932,334.8,2661,0.046421161,4.688789799
934,335.52,2661,0.046681562,4.734458027
936,336.24,2662,0.046773232,4.762901883
938,336.96,2676,0.046711787,4.775497634
940,337.68,2688,0.04683201,4.806406649
942,338.4,2702,0.04716512,4.859048445
944,339.12,2703,0.047389973,4.900448438
946,339.84,2701,0.048285305,5.011283581
948,340.56,2692,0.048310629,5.03184084
950,341.28,2673,0.048348742,5.05340583
952,342,2664,0.04840052,5.076072611
954,342.72,2663,0.048466957,5.099948452
956,343.44,2653,0.048232915,5.091769592
958,344.16,2637,0.048242443,5.108836064
960,344.88,2624,0.048259993,5.126360737
962,345.6,2582,0.048285539,5.144337931
964,346.32,2580,0.049216111,5.258607369
966,347.04,2543,0.04984772,5.340969979
968,347.76,2523,0.049593689,5.328102865
970,348.48,1925,0.018137371,1.953694191
972,349.2,1929,0.018345261,1.981047963
974,349.92,1930,0.017970967,1.945314587
976,350.64,1930,0.018184191,1.972956512
978,351.36,1929,0.01782026,1.937761187
980,352.08,1944,0.018615219,2.028495257
982,352.8,1946,0.018546171,2.025053272
984,353.52,1953,0.018989145,2.077400028
986,354.24,1953,0.018893711,2.070715333
988,354.96,1951,0.01879235,2.063136862
990,355.68,1940,0.018308584,2.013263248
992,356.4,1929,0.017693315,1.948536434
994,357.12,1928,0.017930491,1.97742161
996,357.84,1921,0.01732605,1.91323527
998,358.56,1908,0.017008329,1.880380597
1000,359.28,1904,0.016415037,1.816747198
1002,360,1904,0.016386439,1.815342829
